Diseases,Symptoms
aphasia,"problems with coordination (0.318), weakness (0.181), confusion (0.106), mental confusion (0.088), slurred speech (0.074), numbness (0.071), headache (0.049), seizures (0.045), weakness of one side of the body (0.042), difficulty speaking (0.034), blurred vision (0.018), malnutrition (0.017)"
appendicitis,"pain (0.881), nausea (0.401), abdominal pain (0.361), tenderness (0.163), chills (0.152), diarrhea (0.124), vomiting (0.118), fever (0.096), loss of appetite (0.068), lower abdominal pain (0.040), cramping (0.037), constipation (0.036), discomfort (0.033), cyst (0.030), pain in right lower abdomen (0.029), sharp pain (0.023), pain during urination (0.022), pain in upper abdomen (0.020), pelvic pain (0.017), flank pain (0.016), vaginal discharge (0.013), abdominal discomfort (0.013), dull pain (0.012), infection (0.011)"
arrhythmia,"slow heart rate (0.176), racing heartbeat (0.154), fainting (0.113), fast heart rate (0.112), dizziness (0.089), lightheadedness (0.068), shortness of breath (0.045), low blood pressure (0.035), weakness (0.035), lethargy (0.032), chest pressure (0.027), fatigue (0.026), chest discomfort (0.012), chest tightness (0.012), feeling tired (0.007), dehydration (0.007)"
arthritis,"pain (0.406), knee pain (0.098), swelling (0.092), hip pain (0.041), shoulder pain (0.037), back pain (0.030), leg pain (0.029), neck pain (0.024), infection (0.022), tenderness (0.022), redness (0.019), joint pain (0.018), arm pain (0.017), foot pain (0.012), discomfort (0.012), weakness (0.011), depression (0.011), sadness (0.011), hand pain (0.010), acute episodes (0.008), chronic back pain (0.008), wrist pain (0.008), numbness (0.007), severe pain (0.007), diarrhea (0.007), stiffness (0.006), difficulty walking (0.006), sharp pain (0.006), cyst (0.006), swollen joint (0.006), ankle pain (0.006), elbow pain (0.005)"
asthma,"coughing (0.242), wheezing (0.173), shortness of breath (0.134), cough with phlegm (0.076), chest tightness (0.060), chills (0.046), acute episodes (0.044), fever (0.039), dry cough (0.032), anxiety (0.022), depression (0.021), sadness (0.021), sore throat (0.020), difficulty breathing (0.019), nasal congestion (0.014), headache (0.010), fast heart rate (0.009), phlegm (0.009), chest discomfort (0.008), chest pressure (0.008), runny nose (0.007), fatigue (0.007), back pain (0.006), fast breathing (0.005), malaise (0.005), racing heartbeat (0.005), lethargy (0.005)"
atopic dermatitis,"skin rash (0.232), itching (0.103), redness (0.061), anxiety (0.041), infection (0.038), dry skin (0.034), lesion (0.034), swelling (0.033), chills (0.022), acute episodes (0.021), sadness (0.018), depression (0.018), insomnia (0.018), coughing (0.016), headache (0.016)"
atrial fibrillation,"racing heartbeat (0.066), weakness (0.042), fast heart rate (0.035), shortness of breath (0.034), dizziness (0.028), low blood pressure (0.023), fainting (0.021), lethargy (0.018), lightheadedness (0.017), chest pressure (0.013), fatigue (0.013), confusion (0.011), mental confusion (0.010), slow heart rate (0.010), coughing (0.008), chest discomfort (0.008), bruising (0.008)"
bed bug bite,"skin rash (0.329), itching (0.173), anxiety (0.048), infection (0.029), sadness (0.026), depression (0.026), red spots (0.018), skin irritation (0.018), sweating (0.016), eye pain (0.015), lesion (0.012), substance abuse (0.011), hallucination (0.009), swollen feet (0.009), skin lesion (0.009), brief visual or sensory abnormality (0.009)"
bell's palsy,"numbness (0.308), weakness (0.198), headache (0.134), facial paralysis (0.071), ear pain (0.052), slurred speech (0.051), paralysis (0.046), facial pain (0.040), neck pain (0.038), facial swelling (0.037), tongue numbness (0.031), asymmetry (0.026), blurred vision (0.024), drooping of upper eyelid (0.020), lesion (0.019), malnutrition (0.019), difficulty swallowing (0.018), double vision (0.016)"
bipolar disorder,"depression (0.183), sadness (0.183), anxiety (0.138), thoughts of suicide (0.056), agitation (0.042), manic episode (0.033), crying (0.030), racing thoughts (0.030), confusion (0.026), screaming (0.026), insomnia (0.025), hearing voices (0.023), paranoia (0.023), substance abuse (0.018), falling (0.015), mental confusion (0.014), lethargy (0.014), visual hallucinations (0.012), wandering and getting lost (0.011), seizures (0.010), chronic back pain (0.010), malnutrition (0.009), slurred speech (0.009), fast heart rate (0.009), panic attack (0.009), unsteady gait (0.009), fatigue (0.008), leaking of urine (0.008), aggression (0.007), low blood pressure (0.007), sleepiness (0.006), tremor (0.006), constipation (0.006), hunger (0.006), delirium (0.005)"
bladder cancer,"pain (0.112), blood in urine (0.092), abdominal pain (0.039), weakness (0.033), urinary retention (0.033), fever (0.032), lethargy (0.029), flank pain (0.027), infection (0.026), fatigue (0.025), pain during urination (0.023), discomfort (0.018), bowel obstruction (0.018), low blood pressure (0.018)"
bone fracture,"pain (0.355), swelling (0.101), hip pain (0.054), falling (0.051), bruising (0.050), tenderness (0.047), physical deformity (0.046), back pain (0.037), ankle pain (0.027), knee pain (0.026), shoulder pain (0.025), neck pain (0.023), wrist pain (0.021), rib pain (0.021), arm pain (0.018), leg pain (0.017), numbness (0.016), foot pain (0.015), hand pain (0.014), severe pain (0.012), elbow pain (0.011), fainting (0.011), ice pack (0.008), bleeding (0.007)"
bone infection,"infection (0.257), pain (0.165), fever (0.083), redness (0.076), back pain (0.076), swelling (0.075), chills (0.070), foot pain (0.042), chronic back pain (0.025), depression (0.023), sadness (0.023), tenderness (0.023), weakness (0.020), confusion (0.015), hip pain (0.012), night sweats (0.011), leg pain (0.011), malaise (0.010), discomfort (0.010), incontinence (0.009), fast heart rate (0.009), watery diarrhea (0.009), low blood pressure (0.008), mental confusion (0.007), cavity (0.006)"
borderline personality disorder,"depression (0.343), sadness (0.342), anxiety (0.139), thoughts of suicide (0.076), abdominal pain (0.057), crying (0.054), seizures (0.037), agitation (0.023), loss of appetite (0.022), screaming (0.022), panic attack (0.015), weight loss (0.014), confusion (0.013), impulsivity (0.009), unsteady gait (0.009), mood swings (0.009), substance abuse (0.009), anger (0.009), visual hallucinations (0.008), wandering and getting lost (0.008), cramping (0.007), nightmares (0.007)"
brain tumor,"weakness (0.176), seizures (0.175), headache (0.123), confusion (0.117), mental confusion (0.096), lethargy (0.050), lesion (0.048), infection (0.043), vomiting (0.037), dizziness (0.034), numbness (0.033), unsteady gait (0.033), slurred speech (0.029), nausea (0.024), anxiety (0.020), memory loss (0.019), incontinence (0.019), double vision (0.017), vertigo (0.016), problems with coordination (0.016), fatigue (0.016), blurred vision (0.015), paralysis (0.013), difficulty speaking (0.011), weakness of one side of the body (0.011), disorientation (0.011), malnutrition (0.010), unsteadiness (0.010), facial pain (0.010)"
breast cancer,"nausea (0.066), fever (0.052), weakness (0.043), shortness of breath (0.041), chills (0.026), dizziness (0.024), diarrhea (0.023), lethargy (0.023), fatigue (0.022), infection (0.019), back pain (0.017), coughing (0.017), headache (0.017)"
bronchitis,"coughing (0.620), cough with phlegm (0.215), fever (0.117), chills (0.113), shortness of breath (0.097), wheezing (0.090), sore throat (0.074), dry cough (0.047), nasal congestion (0.039), phlegm (0.037), chest tightness (0.032), fatigue (0.028), lethargy (0.025), runny nose (0.022), malaise (0.019), persistent cough (0.019), chest pain worsened by breathing (0.014), chest discomfort (0.014), rib pain (0.012), headache (0.011), coughing up blood (0.011), low oxygen in the body (0.011), difficulty breathing (0.008), laryngitis (0.008), stuffy nose (0.007), anxiety (0.007)"
burn,"pain (0.119), redness (0.091), blister (0.063), skin rash (0.028), indigestion (0.028), infection (0.023), heartburn (0.023), depression (0.015), sadness (0.015), itching (0.013), burning sensation (0.011), swelling (0.010), discomfort (0.008), severe pain (0.008), ice pack (0.008), pain during urination (0.008), peeling skin (0.008), heat therapy (0.007), pain in upper abdomen (0.006)"
cardiac arrest,"seizures (0.019), fainting (0.015), low blood pressure (0.013), depression (0.011), sadness (0.011), bruising (0.011), thoughts of suicide (0.010), slow heart rate (0.010), crying (0.009), low body temperature (0.008), agitation (0.008), anxiety (0.008), respiratory distress (0.006), screaming (0.005), shivering (0.004), slurred speech (0.004), fluid in the lungs (0.004)"
cardiomyopathy,"shortness of breath (0.064), coughing (0.045), fast heart rate (0.040), chest pressure (0.028), racing heartbeat (0.028), low blood pressure (0.027), fainting (0.026), lightheadedness (0.021), shortness of breath while lying down (0.021), regurgitation (0.020), dizziness (0.014), weight gain (0.013), lethargy (0.013), fatigue (0.011), dry cough (0.009), anxiety (0.008), cavity (0.008), fluid in the lungs (0.007), chest discomfort (0.007), weakness (0.006), cough with phlegm (0.006)"
carpal tunnel syndrome,"numbness (0.175), pain (0.167), hand pain (0.094), weakness (0.083), arm pain (0.071), wrist pain (0.060), swelling (0.054), hand numbness (0.041), redness (0.030), pins and needles (0.024), shoulder pain (0.024), vertigo (0.020), hand swelling (0.016), neck pain (0.016), infection (0.014), depression (0.011), sadness (0.011), anxiety (0.011), chronic back pain (0.010), back pain (0.010), malnutrition (0.010), severe pain (0.008), unsteadiness (0.008), dry skin (0.008)"
cataracts,"depression (0.043), sadness (0.042), eye pain (0.035), weakness (0.031), blurred vision (0.020), vision loss (0.020), vertigo (0.018), constipation (0.017), fainting (0.017), headache (0.014), slow heart rate (0.014), dizziness (0.013), leaking of urine (0.012), difficulty swallowing (0.010)"
celiac disease,"pain (0.458), nausea (0.232), diarrhea (0.195), abdominal pain (0.194), vomiting (0.101), cramping (0.045), pain in upper abdomen (0.041), weight loss (0.040), dizziness (0.033), fatigue (0.032), lethargy (0.031), dehydration (0.030), chills (0.030), watery diarrhea (0.026), constipation (0.024), weakness (0.024), infection (0.022), lightheadedness (0.020), back pain (0.020), loss of appetite (0.019), sharp pain (0.018), tenderness (0.014), yellow skin and eyes (0.013), malnutrition (0.012), upper abdominal pain (0.012), flushing (0.012), blood in stool (0.012), lower abdominal pain (0.012), abdominal discomfort (0.012)"
cellulitis,"redness (0.508), swelling (0.404), pain (0.172), infection (0.124), fever (0.074), chills (0.074), skin rash (0.042), tenderness (0.039), leg pain (0.027), foot pain (0.022), itching (0.020), blister (0.016), lesion (0.014), pimple (0.013), hand swelling (0.012), facial swelling (0.011), scab (0.009), lower extremity pain (0.008)"
cervical cancer,"pain (0.329), abdominal pain (0.175), nausea (0.129), vomiting (0.078), bleeding (0.068), vaginal bleeding (0.064), chills (0.052), diarrhea (0.046), bleeding from anus (0.045), lethargy (0.044), anxiety (0.042), low blood pressure (0.039), discomfort (0.033), sadness (0.033), depression (0.032), redness (0.028), fatigue (0.027), pelvic pain (0.021), abdominal distension (0.019)"
cervical radiculopathy,"pain (0.557), numbness (0.379), neck pain (0.313), shoulder pain (0.193), weakness (0.177), arm pain (0.157), back pain (0.084), pins and needles (0.047), tenderness (0.032), hand numbness (0.026), discomfort (0.020), severe pain (0.020), radiating pain (0.019), sharp pain (0.017), depression (0.017), sadness (0.016), anxiety (0.016), chronic back pain (0.015)"
chicken pox,"skin rash (0.470), itching (0.105), fever (0.087), burning sensation (0.042), headache (0.034), infection (0.034), lesion (0.032), chills (0.031), pain in upper abdomen (0.027), red rashes (0.027), sore throat (0.027), numbness (0.026), malnutrition (0.026), redness (0.025), nerve pain (0.025), stinging sensation (0.018), neck swelling (0.018), ear pain (0.015), ache (0.014), nausea (0.013), night sweats (0.012), pins and needles (0.011)"
chlamydia,"pain (0.385), pain during urination (0.196), nausea (0.152), vaginal discharge (0.148), tenderness (0.130), abdominal pain (0.099), pelvic pain (0.089), cramping (0.078), chills (0.073), infection (0.065), vaginal bleeding (0.057), bleeding (0.054), pain in lower abdomen (0.052), discomfort (0.050), lower abdominal pain (0.049), vomiting (0.038), fever (0.038), discharge from penis (0.034), cyst (0.033), itching (0.032)"
cholangiocarcinoma,"fever (0.268), pain (0.201), nausea (0.190), abdominal pain (0.189), yellow skin and eyes (0.112), vomiting (0.099), chills (0.097), weakness (0.064), lethargy (0.057), fluid in the abdomen (0.056), pain in upper abdomen (0.053), dark urine (0.037), shortness of breath (0.030), constipation (0.029), low blood pressure (0.026), infection (0.026), abdominal distension (0.025), fatigue (0.022), discomfort (0.021), confusion (0.017)"
cholecystitis,"pain (0.621), abdominal pain (0.245), nausea (0.225), vomiting (0.123), tenderness (0.061), fever (0.057), chills (0.056), pain in upper abdomen (0.052), diarrhea (0.051), pain in upper-right abdomen (0.026), abdominal cramping from gallstones (0.023), yellow skin and eyes (0.023), constipation (0.017), discomfort (0.015), infection (0.014), upper abdominal pain (0.014), sharp pain (0.013), lethargy (0.013), loss of appetite (0.011), pain during urination (0.009)"
chronic kidney disease,"kidney failure (0.041), low blood pressure (0.033), infection (0.030), weakness (0.029), fever (0.022), diarrhea (0.020), coughing (0.020), shortness of breath (0.019), vomiting (0.019), lethargy (0.015), chills (0.012), bleeding (0.011), abdominal pain (0.010), fatigue (0.009), low oxygen in the body (0.008), cough with phlegm (0.007), malaise (0.007), confusion (0.006), fluid in the lungs (0.006), redness (0.005), mental confusion (0.005)"
chronic obstructive pulmonary disease,"coughing (0.186), shortness of breath (0.112), cough with phlegm (0.071), wheezing (0.066), low oxygen in the body (0.026), acute episodes (0.020), lethargy (0.015), fever (0.013), chills (0.013), chest tightness (0.012), respiratory distress (0.012), difficulty breathing (0.011), weakness (0.010), phlegm (0.010), fatigue (0.008), fast breathing (0.008), chronic cough (0.006), anxiety (0.006), low blood pressure (0.006), dry cough (0.006), fast heart rate (0.006), sadness (0.005), depression (0.005), confusion (0.005), infection (0.005), chest pressure (0.005)"
chronic pain,"pain (0.556), back pain (0.114), abdominal pain (0.074), sadness (0.070), depression (0.070), chronic back pain (0.058), nausea (0.053), anxiety (0.041), leg pain (0.038), weakness (0.031), numbness (0.026), neck pain (0.025), vomiting (0.023), knee pain (0.022), diarrhea (0.021), shoulder pain (0.020), hip pain (0.019), constipation (0.019), tenderness (0.018), severe pain (0.018), crying (0.017), falling (0.016)"
cirrhosis of the liver,"fluid in the abdomen (0.229), abdominal pain (0.097), pain (0.096), nausea (0.072), yellow skin and eyes (0.071), swollen veins in the lower esophagus (0.067), confusion (0.055), mental confusion (0.049), lethargy (0.045), vomiting (0.044), weakness (0.039), diarrhea (0.037), abdominal distension (0.030), vomiting blood (0.030), chills (0.029), fatigue (0.028), bleeding (0.027), dark stool from digested blood (0.025), flapping tremor (0.025), shortness of breath (0.022), fever (0.020), low blood pressure (0.018), weight gain (0.016), discomfort (0.015), bleeding from anus (0.014), swelling (0.013), infection (0.013), lightheadedness (0.008), abdominal discomfort (0.007), bruising (0.007), kidney failure (0.007), coughing (0.007), lesion (0.007), dizziness (0.006), pain in upper abdomen (0.006)"
colon cancer,"nausea (0.179), abdominal pain (0.137), vomiting (0.107), pain (0.104), diarrhea (0.076), constipation (0.060), bowel obstruction (0.047), weakness (0.043), lethargy (0.038), fatigue (0.030), chills (0.029), dehydration (0.028), shortness of breath (0.027), discomfort (0.025), low blood pressure (0.022), dizziness (0.022), fast heart rate (0.020), infection (0.019), blood in stool (0.017), loss of appetite (0.016), cramping (0.015), back pain (0.012), failure to thrive (0.012), poor appetite (0.011), sadness (0.010), dark stool from digested blood (0.010), depression (0.010), weight loss (0.010)"
common cold,"chills (0.083), sore throat (0.075), coughing (0.071), fever (0.057), nasal congestion (0.039), headache (0.036), runny nose (0.029), numbness (0.024), dry cough (0.019), nausea (0.018), fatigue (0.014), ear pain (0.013), dizziness (0.012), diarrhea (0.011), malaise (0.011), fainting (0.010), lethargy (0.009), lightheadedness (0.008), sneezing (0.008), discomfort (0.008), shivering (0.007), stuffy nose (0.007), racing heartbeat (0.006), sinus pressure (0.006), feeling cold (0.005), foot pain (0.004), pins and needles (0.004), sweating (0.004), phlegm (0.004), skin rash (0.004), sensitivity to light (0.004), night sweats (0.004), low body temperature (0.004), mild cough (0.003), eye redness (0.003), cough with phlegm (0.003), loss of appetite (0.003), head congestion (0.003), leg pain (0.003), ache (0.003)"
concussion,"headache (0.240), nausea (0.176), neck pain (0.118), dizziness (0.112), tenderness (0.082), blurred vision (0.046), confusion (0.045), fainting (0.042), mental confusion (0.040), bruising (0.038), falling (0.038), sensitivity to light (0.031), vomiting (0.027), lightheadedness (0.021), amnesia (0.019), shoulder pain (0.018), back pain (0.017), numbness (0.016), difficulty concentrating (0.015), memory loss (0.014), double vision (0.014), lethargy (0.011), vertigo (0.011), elbow pain (0.010), stiffness (0.010), rib pain (0.009), unsteady gait (0.009), fatigue (0.008), persistent headache (0.007), knee pain (0.007), ache (0.007), arm pain (0.007), rapid involuntary eye movement (0.006), disorientation (0.006), ice pack (0.006), severe headache (0.005), malnutrition (0.005), fear of loud sounds (0.004), facial pain (0.004)"
congestive heart failure,"shortness of breath (0.293), swelling (0.097), coughing (0.095), shortness of breath while lying down (0.080), weight gain (0.065), fluid in the lungs (0.052), wheezing (0.040), low oxygen in the body (0.034), cough with phlegm (0.027), lethargy (0.024), difficulty breathing (0.021), chest pressure (0.018), dry cough (0.017), fatigue (0.017), respiratory distress (0.017), chest tightness (0.013), fast breathing (0.013), swelling in extremities (0.012), kidney failure (0.011), regurgitation (0.009), weakness (0.008), phlegm (0.008), low blood pressure (0.008), chest discomfort (0.006), slow heart rate (0.004), mild cough (0.004), chronic cough (0.004)"
coronary artery disease,"shortness of breath (0.051), regurgitation (0.022), fainting (0.022), low blood pressure (0.021), lesion (0.021), chest pressure (0.018), depression (0.016), sadness (0.015), weakness (0.013), back pain (0.012), malnutrition (0.011), discomfort (0.010), chest discomfort (0.008), leg pain (0.007), infection (0.007), leg pain during exercise (0.006)"
crohn's disease,"pain (0.548), abdominal pain (0.292), nausea (0.276), acute episodes (0.245), diarrhea (0.201), vomiting (0.133), chills (0.093), fever (0.061), bowel obstruction (0.043), cramping (0.042), tenderness (0.038), dehydration (0.027), discomfort (0.025), lower abdominal pain (0.022), blood in stool (0.020), infection (0.019), rectal pain (0.016), bleeding from anus (0.015), constipation (0.013), lethargy (0.013), fatigue (0.012), pain in upper abdomen (0.011), low blood pressure (0.010), pain during urination (0.009), watery diarrhea (0.009), abdominal discomfort (0.009), weight loss (0.008), belching (0.008), abdominal tenderness (0.008), abdominal distension (0.007), lightheadedness (0.007), sharp pain (0.006), bone loss (0.005)"
deep vein thrombosis,"pain (0.284), swelling (0.237), leg pain (0.095), calf pain (0.052), shortness of breath (0.037), lower extremity pain (0.032), coughing (0.028), fast heart rate (0.024), malnutrition (0.020), weakness (0.020), tenderness (0.019), bleeding (0.019), coughing up blood (0.017), discomfort (0.014), arm pain (0.013), redness (0.011)"
dementia,"confusion (0.121), mental confusion (0.093), fainting (0.042), agitation (0.038), hip pain (0.026), lethargy (0.020), weakness (0.018), delirium (0.018), low blood pressure (0.017), seizures (0.011), bruising (0.011), wandering and getting lost (0.011), low oxygen in the body (0.011), depression (0.011), sadness (0.010), incontinence (0.010), failure to thrive (0.009), infection (0.009), falling (0.009), leaking of urine (0.008), dehydration (0.007), paranoia (0.007), memory loss (0.007), screaming (0.006), visual hallucinations (0.005), confusion in the evening hours (0.005), unsteady gait (0.004), aggression (0.004), fast breathing (0.004), difficulty swallowing (0.003), malnutrition (0.003), slow heart rate (0.003), kidney failure (0.003)"
diverticulitis,"pain (0.657), abdominal pain (0.271), nausea (0.224), diarrhea (0.152), chills (0.121), fever (0.072), vomiting (0.059), constipation (0.057), tenderness (0.051), cramping (0.044), lower abdominal pain (0.041), acute episodes (0.026), discomfort (0.026), pain during urination (0.021), loss of appetite (0.017), flank pain (0.015), blood in stool (0.014), bowel obstruction (0.014), abdominal discomfort (0.012), bleeding from anus (0.012), watery diarrhea (0.010), blood in urine (0.010), pain in upper abdomen (0.010), pain in lower abdomen (0.009), severe pain (0.007), abdominal tenderness (0.006)"
diverticulosis,"pain (0.187), diarrhea (0.116), abdominal pain (0.110), nausea (0.084), bleeding from anus (0.084), cramping (0.060), bleeding (0.059), constipation (0.040), vomiting (0.038), lightheadedness (0.034), dizziness (0.026), lower abdominal pain (0.026), discomfort (0.025), blood in stool (0.020), dark stool from digested blood (0.020), chills (0.018), lesion (0.017), cyst (0.017)"
drug withdrawal,"sadness (0.186), depression (0.184), anxiety (0.182), nausea (0.083), seizures (0.049), thoughts of suicide (0.049), substance abuse (0.038), diarrhea (0.037), vomiting (0.035), panic attack (0.030), insomnia (0.027), crying (0.024), agitation (0.024), racing heartbeat (0.021), chills (0.021), fast heart rate (0.021), confusion (0.020), severe anxiety (0.014), cramping (0.014), racing thoughts (0.013), mental confusion (0.012), restlessness (0.012), visual hallucinations (0.011), hopelessness (0.011), paranoia (0.011), hallucination (0.010), muscle pain (0.009), tremor (0.008), sleepiness (0.007), hearing voices (0.007), screaming (0.006), leg pain (0.006), discomfort in upper abdomen (0.006), guilt (0.006), chronic back pain (0.006), bruising (0.006), falling (0.006), abdominal pain (0.006), nightmares (0.005), runny nose (0.005), joint pain (0.005), loss of interest (0.004), impulsivity (0.004), lethargy (0.004), slowness in activity and thought (0.004), restless legs syndrome (0.004), trembling (0.004), wheezing (0.004), dry skin (0.004), wandering and getting lost (0.004), fear (0.004), nasal congestion (0.003), weight loss (0.003), blotchy rash (0.003)"
ectopic pregnancy,"pain (0.537), bleeding (0.204), vaginal bleeding (0.181), abdominal pain (0.167), cramping (0.155), spotting (0.154), nausea (0.104), cyst (0.067), tenderness (0.055), lower abdominal pain (0.048), pelvic pain (0.040), diarrhea (0.031), vaginal discharge (0.023), discomfort (0.020), vomiting (0.016), back pain (0.015), vaginal pain (0.014), lightheadedness (0.011)"
encephalitis,"confusion (0.160), mental confusion (0.117), headache (0.112), fever (0.104), seizures (0.080), lethargy (0.052), dizziness (0.047), weakness (0.035), fatigue (0.031), stiff neck (0.026), slurred speech (0.024), blurred vision (0.022), severe headache (0.021), skin rash (0.020), infection (0.019), poor appetite (0.019), delirium (0.019), agitation (0.017), neck pain (0.017), fluid in the abdomen (0.016), anxiety (0.015), blood in urine (0.015), low blood pressure (0.015), severe pain (0.014), visual hallucinations (0.013), forgetfulness (0.013), high fever (0.012), lesion (0.012), blister (0.012)"
encephalopathy,"confusion (0.350), mental confusion (0.257), fluid in the abdomen (0.159), flapping tremor (0.117), lethargy (0.075), yellow skin and eyes (0.042), infection (0.040), seizures (0.038), swollen veins in the lower esophagus (0.033), depression (0.025), sadness (0.025), unsteady gait (0.021), agitation (0.021), fatigue (0.016), tremor (0.015), weakness (0.015), slurred speech (0.014), delirium (0.014), abdominal distension (0.011), visual hallucinations (0.011), falling (0.009), kidney failure (0.009), incontinence (0.008)"
endometrial cancer,"nausea (0.096), fever (0.069), vaginal bleeding (0.042), vomiting (0.040), bowel obstruction (0.033), fatigue (0.029), weight loss (0.028), pain in upper abdomen (0.025), lethargy (0.024), constipation (0.023), diarrhea (0.022), abdominal pain (0.020), regurgitation (0.018), abdominal distension (0.018), weakness (0.018), bleeding (0.017)"
